,job_tags
3546,['ecommerce' 'DevOps' 'Cloud Engineer']
11304,['Microsoft Office' 'Word' 'Excel']
3128,[]
7551,['word' 'excel' 'powerpoint']
3730,[]
7275,[]
87,[]
9669,[]
471,[]
1111,[]
4652,['Axure RP' 'Axure' 'Project Management']
5192,[]
9210,[]
2950,['RESTful API' 'Source Control' 'GitHub']
543,[]
10272,['Trello' 'JIRA']
10492,[]
3598,['k8s' 'SRE' 'Site Reliability Engineer']
9605,['word' 'powerpoint' 'photoshop']
6052,[]
3078,[]
178,['Customer Success' 'CSM' 'Support Specialist']
6510,[]
3708,['Innovus' 'ICC2' 'TCL']
8379,['Microsoft Office' 'excel' 'Communication']
6960,['SEO' 'EDM']
6124,[]
2769,[]
6493,['Sales & Customer Service' '10491台灣台北市中山區' 'CakeResume 2023 Career Fair']
11123,['Microsoft Office' 'PowerPoint' 'Word']
3606,[]
8530,[]
2067,[]
447,['CakeResume 2023 Career Fair']
10608,['軟體工程師' 'Internet程式設計師' '演算法工程師']
10105,['SAP' 'EXCEL' 'outlook']
9756,['雲端工程師' '系統工程師' 'CakeResume 2023 Career Fair']
7711,[]
8854,['React' 'Git' 'Ajax']
9785,['Adobe Acrobat' 'Excel' 'Outlook']
5524,[]
6814,[]
8477,[]
10235,[]
3441,['Data Analyst' 'Python' 'R']
3468,[]
10894,[]
2217,['HR' 'HRBP' 'HR Business Partner']
3268,['#blockchain']
8548,[]
8499,['台灣台北' '台北' '新北市']
4413,['Java' 'Spring Boot' 'Spring MVC']
